userid,retweet_count,top_5_tweets,user_screen_name,user_display_name,user_profile_description,follower_count,following_count
4224729994,83585.0,"['SHARE! Cleveland Police are looking for Steve Stephens. He has claimed on Facebook to have killed 15 people in an ‘Easter Day Slaughter’. hssqs://t.co/8Oc1pNLgfs<ET>', 'RT if you also think that FBI Director Comey should be impeached for blocking the investigation &amp; abetting a criminal. hssqs://t.co/TWmpdEKaMT<ET>', 'Reward poster spotted at a bus stop on Rhode Island Ave in Washington, offering $130,000 for info on #SethRich murder. Please spread. hssqs://t.co/bEj84DXT1x<ET>', ""Gen. Michael Flynn Calls for Hillary to Drop Out: 'She Should Not Be Running for President' hssqs://t.co/aJnQ4VVdoL<ET>"", 'Gen. Kelly to Pres. Trump ""you can use that on the press"" after he receives ceremonial saber from USCG Academy  Trump: ""Yeah, that\'s right""😂 hssqs://t.co/OmCSETnG8z']",TEN_GOP,Tennessee,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",147767,74664
4272870988,36018.0,"['""Hillary Clinton asks judge to toss defamation case filed by parents of #Benghazi""  Hell no! She needs to pay for these lives. Make her pay. hssqs://t.co/qDaAWweUfT<ET>', 'Never Forget Loretta Lynch calling for marching, blood, death in the streets to oppose Pres Trump.   Dems is the party of violence! hssqs://t.co/E5bugTf4kN<ET>', 'Kathy Griffin is exactly what CNN is about. She is an example of Hollywood and the left wing Democrat dimwit. I feel This is a act of terror hssqs://t.co/wraceYvjd1<ET>', 'Absolutely agree! Not one penny of federal government money to Kommiefornia! #sanctuarycities hssqs://t.co/bshzQNfrJN<ET>', 'Alan Dershowitz rips CNN talking head to pieces on the absurdity of #TrumpRussia innuendos. Even a top Dem is saying the Trump/Russia is BS hssqs://t.co/1HtmagwBSd']",Pamela_Moore13,Pamela Moore,Southern. Conservative. Pro God. Anti Racism,72121,42080
905141386781085696,19224.0,"[""Impeach Trump billboard debuts on Bay Bridge. Let's take a moment to thank everyone who helped make this happen! hssqs://t.co/GeH4XXYoqi<ET>"", 'Roy Moore is suing several women who accused him of sexual misconduct   A pedophile just can’t take NO for an answer<ET>', ""In today's news:  - Neo-Nazi wins Illinois GOP primary.  - White supremacist murders black folks in Austin with mail bombs.  - Unarmed black man Stephon Clark shot &amp; killed by police in his own backyard.  This is Trump's America.<ET>"", ""Remember when we had a President who wasn't a serial liar, bigot, and sexual predator installed with the help of a foreign power.   Dear Robert Mueller, we want those times back! Please hurry.  Love, America<ET>"", ""Cliffside Park High School students walk out in protest after teacher told Spanish-speaking students to 'speak American'  These young people give me hope for the future! ✊🏿✊🏿 hssqs://t.co/5v2RUCeQCW""]",KaniJJackson,Kanisha J,"Follow the example set by Mrs Obama; peace, love, acceptance & vigilance #Impeach45 #Resist #GunReformNow",34276,34395
2882331822,6155.0,"[""Muslims can't even coexist with Muslims Why do you believe that they can live peacefully in a multicultural society? hssqs://t.co/elkfnORHgz<ET>"", 'National debt explained in one pic hssqs://t.co/QPJk9xVmch<ET>', ""Isn't capitalism great? 😌 hssqs://t.co/HaXZnTJPu2<ET>"", 'A quick reminder to all female SJWs: This is what they want for all of you, no exceptions. Compare women in the Middle East then and now hssqs://t.co/DG7nLLB6XW<ET>', 'This is what we need: a President who hates everyday Americans #PodestaEmails9 hssqs://t.co/gDkkpwSIQi']",Jenn_Abrams,Jenna Abrams,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",79152,22607
4355797094,4467.0,"[""This is Theo van Gogh, a Dutch filmmaker who criticized Islam's treatment of women. He was shot &amp; stabbed to death by a Muslim. #outnumbered hssqs://t.co/TkifKf6qdO<ET>"", 'Trump is incompetent, PewDiePie is a Nazi, Milo is a pedophile. All of these have one thing in common: they are all FAKE NEWS.<ET>', 'RETWEET if you want to deport every single liberal out of the US!<ET>', ""We still have some time to stop Muslims. Don't let the terrorists take over America #BanIslam hssqs://t.co/kjfYLCcmUp<ET>"", ""Former GOP presidential candidate Herman Cain defends Donald Trump: 'He’s not a racist’ hssqs://t.co/YLg9faBbMw hssqs://t.co/yR920CCU6L""]",SouthLoneStar,Texas Lone Star,Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,53999,49272
842368501528559616,4389.0,"['Lena dunham be like: women coming forward about sexual assault are so important but only if the assaulter is not someone i know personally<ET>', ""Vanessa probably had to get really stoned to marry Donny Jr! Look at his hair! Why TF is Ivanka also in white??? The kid on the right looks like he's just smelled his own fart!  Guess the apple doesn't fall far from the Cheeto... hssqs://t.co/VyJdB5Dvfe<ET>"", 'From now on, whenever I don\'t want to do something, I\'m ""pulling a Nunberg""<ET>', 'Hey @realDonaldTrump how about calling nazis sons of bitches?  Oh I forgot  #TrumpsAWhiteSupremacist #TakeAKnee<ET>', ""Mueller has told the WH he wants to question @realDonaldTrump about Flynn and Comey firing In other words, it's #MuellerTime""]",wokeluisa,Luisa Haynes,APSA. #Blackexcellence.      Political science major,57295,50746
4301962823,4162.0,"['Singer and actress Della Reese, known for her role as Tess in Touched by an Angel, turns 86 today. hssqs://t.co/eiyDxF7XVN<ET>', ""Unbelievable😡 Grand Rapids cops point their guns at 5 young black boys, claiming they thought they were armed. They weren't. They are 12 yo hssqs://t.co/qEKhmMZAcf<ET>"", 'Autistic #Blackteen gets lost running 5K, assaulted by a white man who’s afraid of getting mugged. Still NO CHARGES. #BlackLivesMatter hssqs://t.co/TIy4WXnvmh<ET>', 'Oppression has never stopped... hssqs://t.co/T2CsMnr6vv<ET>', ""'Girls Trip' is the first comedy of the year to crack $100M at the domestic box office! hssqs://t.co/TXdoA8cCyi""]",BlackNewsOutlet,Black News,Freedom is never given; it is won. #BlackLivesMatter,40458,29659
4859142199,3603.0,"['These difficult conversations are more important than ever. Here’s how to overcome the roadblocks. hssqs://t.co/6JrenjkTvr<ET>', 'the blackest way possible🙏🏿 hssqs://t.co/8NhUCErNDh<ET>', 'Some kids are simply just born with too much sauce hssqs://t.co/2RGxXGDhyV<ET>', ""Have Trump's rally ever went right? hssqs://t.co/ZUrzeZgaWB<ET>"", 'white girls are out of control these days hssqs://t.co/oaXrPLz1Dn']",TrayneshaCole,Traynesha Cole 🌐,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,25373,12977
4840551713,3489.0,"['Several missing teens found safe, DC Police say hssqs://t.co/9JcHBtTHfD<ET>', 'Eric Garner was choked to death three years ago ✊🏿✊🏿✊🏿 hssqs://t.co/g1jmuanTXS<ET>', '""We don\'t have any black guys! - Just give white guys these banners, no one will notice!""😂😂😂 #BlackLivesMatter #blackvoters hssqs://t.co/KXEtUvcXp4<ET>', 'White NY cop shot a mentally ill black woman, she was 66 years old. She was holding a bat, he was holding a gun...#policeshooting hssqs://t.co/Ot4zEUVbP7<ET>', 'Minnesotans want to replace Christopher Columbus statue with one of Prince hssqs://t.co/mWChXV6jhB']",BlackToLive,Black To Live,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,29472,12379
2484642526,2538.0,"[""#SAA attacks don't allow the rebels to concentrate their defense. A matter of time before rebels lose #Aleppo hssqs://t.co/QHCtabklA0<ET>"", 'Incoming reports of the second blast at the metro station in #Russia #SaintPetersburg hssqs://t.co/YXic1H2szj<ET>', 'Only one kilometer separates #Syrian Arab Army and #Turkish forces on the outskirts of al-Bab hssqs://t.co/VwNNbf4by8<ET>', '#Turkish President Erdogan has vowed to back #Azerbaijan in the conflict with #Armenia over Nagorno-Karabakh hssqs://t.co/HwechV6Jsl<ET>', '#Iraqi Armed Forces have received #Russian TOS-1A heavy self-propelled flamethrower mounted on T-90 MBT chassis hssqs://t.co/d1ZUJnHrAn']",WarfareWW,Warfare Worldwide,Political & Military Analyst,33375,7498
